日付,2021_6_14__13_45_18
年齢,22
性別,男性
右手
スコア(秒),63.79248
時間,手の甲の位置,,手の力_親指,人差し指...
time(s),x,y,z
1.601871,-61.56103, 489.0594, 137.5814
1.608302,-61.56103, 489.0594, 137.5814
1.612986,-60.24394, 489.0532, 137.0943
1.620456,-58.84281, 488.9561, 136.6538
1.626605,-57.20299, 488.6588, 136.4121
1.634396,-57.20299, 488.6588, 136.4121
1.641753,-55.7381, 488.3828, 136.1086
1.646986,-54.21903, 488.0746, 135.6004
1.654691,-52.48251, 487.8503, 135.2972
1.660394,-52.48251, 487.8503, 135.2972
1.667202,-50.72178, 487.4531, 135.0789
1.672392,-48.86363, 487.1832, 134.7957
1.681093,-47.08597, 486.8888, 134.6511
1.68936,-45.20502, 486.7042, 134.4728
1.696294,-43.33188, 486.3563, 134.4369
1.703863,-43.33188, 486.3563, 134.4369
1.710651,-41.5797, 486.034, 134.3703
1.717367,-39.72246, 485.64, 134.2524
1.724788,-38.06652, 485.2055, 134.07
1.732508,-36.3666, 484.789, 133.9123
1.738533,-34.67949, 484.7548, 133.6558
1.747185,-33.05796, 484.7404, 133.6547
1.755319,-33.05796, 484.7404, 133.6547
1.760927,-31.20615, 484.8927, 133.7196
1.769935,-29.39718, 484.9132, 133.7334
1.777124,-27.68807, 484.9936, 133.7941
1.783605,-25.92353, 485.3994, 133.8689
1.790276,-25.92353, 485.3994, 133.8689
1.796135,-24.23058, 485.6116, 133.9096
1.803327,-22.43321, 485.8321, 133.8916
1.810653,-20.88704, 486.0108, 133.8933
1.816531,-20.88704, 486.0108, 133.8933
1.824595,-19.17096, 486.1285, 134.102
1.830571,-17.37296, 486.3052, 134.1299
1.8371,-15.73355, 486.3689, 134.159
1.84479,-14.08026, 486.2475, 134.1482
1.850582,-14.08026, 486.2475, 134.1482
1.856985,-12.5355, 485.9926, 134.0232
1.864836,-10.81636, 485.9734, 133.8168
1.871348,-9.222793, 485.8484, 133.5746
1.878306,-9.222793, 485.8484, 133.5746
1.883786,-7.528823, 485.8296, 133.2819
1.891452,-5.868689, 485.7096, 133.0408
1.901022,-4.167409, 485.7373, 132.8719
1.907731,-2.4489, 485.6604, 132.9167
1.913241,-0.8913909, 485.5714, 132.995
1.920521,-0.8913909, 485.5714, 132.995
1.925585,0.6521012, 485.4128, 132.9767
1.933128,2.293719, 485.0405, 133.193
1.939986,4.018312, 485.0262, 133.4437
1.946317,4.018312, 485.0262, 133.4437
1.95417,5.507523, 484.9909, 133.7347
1.961437,7.041147, 484.8289, 133.9994
1.968598,8.621199, 484.9169, 134.3847
1.974772,10.21528, 485.0561, 134.6023
1.980352,10.21528, 485.0561, 134.6023
1.987841,11.6625, 485.1802, 134.5384
1.993653,13.04715, 485.0185, 134.3389
2.000993,14.38206, 484.8098, 134.0819
2.008257,14.38206, 484.8098, 134.0819
2.013137,15.80341, 484.6962, 133.7759
2.021688,17.18534, 484.8108, 133.6055
2.027118,18.58637, 484.8022, 133.2427
2.034631,19.91937, 484.5802, 132.9063
2.040891,19.91937, 484.5802, 132.9063
2.045682,21.27294, 484.1284, 132.7124
2.053363,22.6608, 483.8651, 132.6631
2.059424,22.6608, 483.8651, 132.6631
2.066333,24.04971, 483.4682, 132.5709
2.085945,28.20606, 482.792, 133.2915
2.094089,29.7019, 482.4893, 133.496
2.101367,29.7019, 482.4893, 133.496
2.10859,31.21966, 481.989, 133.7287
2.1147,32.79609, 481.5363, 134.2587
2.123241,34.30656, 480.8313, 134.8396
2.130628,35.9085, 480.3605, 135.3407
2.1367,35.9085, 480.3605, 135.3407
2.144813,37.71341, 479.9303, 135.6428
2.150169,39.51455, 479.4421, 136.0875
2.157559,41.40597, 479.2512, 136.431
2.166543,43.46327, 479.1528, 136.6957
2.173332,45.50367, 479.4171, 137.0092
2.179842,45.50367, 479.4171, 137.0092
2.186443,47.52767, 479.5243, 137.2452
2.192171,49.56221, 479.7226, 137.3494
2.19968,49.56221, 479.7226, 137.3494
2.205926,51.70736, 479.9582, 137.7798
2.212263,53.71862, 480.4117, 138.3709
2.220729,55.64716, 480.941, 138.6881
2.229142,57.835, 481.6684, 139.2311
2.237047,59.98042, 482.0061, 139.5894
2.244421,62.05276, 482.4173, 139.8387
2.250409,62.05276, 482.4173, 139.8387
2.257077,64.23195, 482.6898, 140.0387
2.264945,66.18986, 483.0327, 140.1755
2.272382,68.21761, 483.4876, 140.3834
2.279213,70.08743, 484.0043, 140.2125
2.287111,71.94523, 484.3468, 139.8962
2.293126,71.94523, 484.3468, 139.8962
2.300033,73.58274, 484.4993, 139.6086
2.30523,75.19687, 484.6767, 139.243
2.31313,76.80453, 485.107, 138.6378
2.320111,76.80453, 485.107, 138.6378
2.325198,78.37206, 485.3738, 138.2044
2.332701,79.73691, 485.4869, 137.9635
2.339013,80.95773, 485.6643, 137.944
2.345992,80.95773, 485.6643, 137.944
2.353539,82.24435, 485.872, 137.7261
2.359131,83.48, 485.9454, 137.4576
2.367469,84.71154, 485.8277, 137.1068
2.373925,85.7498, 485.5688, 136.8694
2.379551,85.7498, 485.5688, 136.8694
2.386675,86.74671, 485.3572, 136.8181
2.392129,87.54874, 485.0656, 136.8132
2.399215,87.54874, 485.0656, 136.8132
2.405762,88.24279, 484.7401, 136.6915
2.412448,89.04134, 484.1993, 136.3938
2.420969,89.78207, 483.6937, 136.1612
2.427003,90.71144, 483.2633, 135.9612
2.434913,91.74984, 482.9343, 135.821
2.442542,92.73047, 482.6404, 135.9093
2.449577,93.75591, 482.5513, 135.9975
2.457368,93.75591, 482.5513, 135.9975
2.46331,94.80492, 482.4865, 136.0054
2.470089,95.97684, 482.2889, 135.999
2.478731,97.24743, 482.1136, 135.8713
2.487279,98.54016, 482.0567, 135.7498
2.493325,99.93831, 481.9784, 135.7682
2.500558,99.93831, 481.9784, 135.7682
2.506145,101.2942, 481.9863, 135.837
2.512737,102.5393, 481.9705, 135.7309
2.519922,102.5393, 481.9705, 135.7309
2.525639,103.8518, 482.0287, 135.5906
2.5331,105.2801, 481.8999, 135.4583
2.538158,106.6934, 481.8959, 135.5037
2.544744,106.6934, 481.8959, 135.5037
2.550373,108.0255, 482.0142, 135.6657
2.558547,109.3672, 482.2949, 135.826
2.565931,110.7568, 482.5582, 135.9008
2.572723,112.2217, 482.8098, 135.9299
2.579839,113.6769, 483.0465, 135.8867
2.58692,113.6769, 483.0465, 135.8867
2.592425,115.1186, 483.3499, 136.1221
2.600285,116.4491, 483.475, 135.9595
2.606157,117.7174, 483.3582, 135.5037
2.614582,118.9237, 483.0135, 135.0762
2.622501,118.9237, 483.0135, 135.0762
2.628219,120.013, 482.7155, 134.817
2.637113,121.0837, 482.6323, 134.689
2.644506,122.0831, 482.4612, 134.4478
2.651066,122.8924, 481.9287, 133.9771
2.658462,123.8033, 481.6386, 133.6849
2.666395,123.8033, 481.6386, 133.6849
2.672647,124.6332, 481.2022, 133.5023
2.680161,125.4539, 481.1408, 133.3897
2.688651,126.1871, 481.044, 133.3825
2.694659,126.8855, 481.0136, 133.2744
2.701888,126.8855, 481.0136, 133.2744
2.709244,127.4085, 480.9539, 133.243
2.714232,128.0084, 480.8462, 133.1675
2.722362,128.6247, 480.737, 133.0986
2.729008,129.1724, 480.5836, 133.0872
2.736665,129.757, 480.3715, 132.8353
2.743994,129.757, 480.3715, 132.8353
2.749399,130.3343, 480.1569, 132.606
2.757268,130.9848, 480.0437, 132.5313
2.764547,131.6507, 479.8633, 132.4632
2.770284,131.6507, 479.8633, 132.4632
2.777661,132.2163, 479.7849, 132.6591
2.7844,132.873, 479.8022, 132.902
2.792382,133.4563, 479.8903, 133.1366
2.800325,134.078, 479.8543, 133.288
2.806592,134.6425, 479.8719, 133.3876
2.813625,134.6425, 479.8719, 133.3876
2.820814,135.2356, 479.9485, 133.5191
2.838629,137.3257, 480.3232, 133.9277
2.846371,137.3257, 480.3232, 133.9277
2.853654,138.1618, 480.4616, 133.8639
2.859437,139.043, 480.7336, 133.9154
2.866655,139.043, 480.7336, 133.9154
2.871479,139.9892, 481.0906, 133.953
2.879218,140.9634, 481.3948, 133.9922
2.886531,141.7391, 481.5554, 133.9109
2.892232,141.7391, 481.5554, 133.9109
2.899849,142.5292, 481.7884, 133.805
2.905285,143.4253, 481.9276, 133.7982
2.913365,144.3369, 482.0072, 133.7666
2.922462,145.1754, 482.144, 133.8287
2.928034,146.1002, 482.0979, 133.7903
2.936028,147.0562, 481.9923, 133.7316
2.944098,147.0562, 481.9923, 133.7316
2.949568,147.9579, 481.8024, 133.6095
2.956979,148.8213, 481.4082, 133.6432
2.964368,149.698, 481.026, 133.7817
2.970675,149.698, 481.026, 133.7817
2.977513,150.6106, 480.7451, 133.93
2.983912,151.6376, 480.5056, 133.9328
2.992161,152.5153, 480.0524, 133.9982
2.999518,153.5523, 479.8421, 134.056
3.005541,154.4558, 479.4825, 134.1864
3.012429,154.4558, 479.4825, 134.1864
3.020087,155.3262, 479.0094, 134.4303
3.026711,156.2121, 478.7306, 134.6472
3.035614,157.3108, 478.7213, 134.8515
3.042082,158.446, 478.6584, 135.0148
3.048337,158.446, 478.6584, 135.0148
3.055593,159.6573, 478.6285, 135.0667
3.061467,160.9411, 478.7151, 135.2488
3.068775,162.3067, 478.9479, 135.3881
3.077227,163.6183, 479.1239, 135.538
3.084059,164.9439, 479.4277, 135.5684
3.091238,164.9439, 479.4277, 135.5684
3.097023,166.2768, 479.5729, 135.5838
3.103163,167.5058, 479.5885, 135.5447
3.111829,168.7031, 479.6543, 135.4827
3.120475,169.8045, 479.5995, 135.4216
3.126716,170.8838, 479.6253, 135.0738
3.134046,170.8838, 479.6253, 135.0738
3.141898,171.9744, 479.6989, 134.7095
3.148955,173.0792, 479.76, 134.4293
3.156389,174.0096, 479.7591, 134.2474
3.164657,174.9527, 479.6877, 134.0043
3.171202,175.651, 479.6005, 133.7718
3.178926,176.417, 479.5377, 133.4569
3.186315,176.417, 479.5377, 133.4569
3.191864,177.1196, 479.5751, 133.1981
3.199288,177.8073, 479.5828, 132.8986
3.205643,178.4376, 479.3934, 132.5166
3.213073,179.1162, 479.2507, 132.2287
3.220164,179.1162, 479.2507, 132.2287
3.22619,179.5938, 479.0043, 132.0892
3.234102,180.0774, 478.7466, 131.9568
3.241673,180.4529, 478.3472, 131.8448
3.247693,180.7509, 477.8157, 131.6582
3.255294,180.7509, 477.8157, 131.6582
3.260441,181.2267, 477.3702, 131.5199
3.268163,181.6712, 477.0667, 131.4035
3.275508,182.0888, 476.7667, 131.3319
3.281295,182.0888, 476.7667, 131.3319
3.288731,182.5518, 476.4458, 131.1521
3.294251,183.0762, 476.2995, 131.0431
3.30254,183.5658, 476.1025, 130.9403
3.310084,184.021, 475.8267, 130.7366
3.315755,184.021, 475.8267, 130.7366
3.323178,184.5532, 475.5712, 130.5493
3.330388,184.9668, 475.4431, 130.4469
3.337449,185.5173, 475.418, 130.3163
3.345545,186.0476, 475.5602, 130.2618
3.353339,186.0476, 475.5602, 130.2618
3.359013,186.5787, 475.5643, 130.2781
3.366597,187.1076, 475.5076, 130.3741
3.37193,187.5689, 475.3097, 130.4314
3.378961,188.0069, 475.2495, 130.4643
3.386399,188.0069, 475.2495, 130.4643
3.391549,188.3961, 475.1631, 130.4176
3.399495,188.8294, 475.1418, 130.4115
3.405039,188.8294, 475.1418, 130.4115
3.411484,189.1933, 475.2262, 130.2342
3.417328,189.5271, 475.3786, 130.049
3.424774,189.9263, 475.5518, 129.8479
3.432893,190.2949, 475.765, 129.6271
3.439579,190.6759, 475.9309, 129.3906
3.447774,191.0406, 476.062, 129.2033
3.456121,191.0406, 476.062, 129.2033
3.462156,191.2662, 476.191, 128.9091
3.471161,191.5305, 476.1859, 128.6793
3.478073,191.7776, 476.1206, 128.49
3.485506,191.8729, 476.0871, 128.3892
3.494354,192.1428, 476.0716, 128.3141
3.516426,192.6003, 475.9421, 127.9941
3.524262,192.6003, 475.9421, 127.9941
3.531385,192.9289, 475.9916, 127.8327
3.537539,193.1713, 476.1171, 127.6977
3.545413,193.3487, 476.2693, 127.6832
3.554573,193.541, 476.3853, 127.6577
3.560803,193.8428, 476.5202, 127.5204
3.56791,193.8428, 476.5202, 127.5204
3.574058,194.0039, 476.6969, 127.4818
3.579851,194.294, 476.8035, 127.3917
3.587788,194.5892, 476.9067, 127.2282
3.593096,194.5892, 476.9067, 127.2282
3.600188,194.7729, 477.063, 127.1255
3.605317,195.0112, 477.1908, 126.8786
3.611806,195.0112, 477.1908, 126.8786
3.617935,195.1977, 477.2491, 126.7256
3.624355,195.4432, 477.3074, 126.5422
3.633437,195.5696, 477.2797, 126.3088
3.638925,195.7277, 477.2635, 126.1114
3.64645,195.7277, 477.2635, 126.1114
3.654695,195.8513, 477.2381, 125.9436
3.65964,196.004, 477.1586, 125.8073
3.668167,196.0928, 477.0938, 125.6605
3.675324,196.1882, 476.9905, 125.4421
3.681282,196.1882, 476.9905, 125.4421
3.688078,196.254, 476.881, 125.3259
3.694355,196.323, 476.735, 125.0825
3.702336,196.3679, 476.6212, 124.8887
3.709358,196.476, 476.5374, 124.6923
3.716197,196.5536, 476.5547, 124.5083
3.722899,196.5536, 476.5547, 124.5083
3.730436,196.7018, 476.5198, 124.2208
3.737192,196.8846, 476.4511, 123.9816
3.744668,197.0646, 476.3882, 123.6235
3.751012,197.0646, 476.3882, 123.6235
3.757543,197.2564, 476.3321, 123.2319
3.765045,197.4256, 476.2266, 122.7809
3.771052,197.5653, 476.0698, 122.4696
3.77866,197.7237, 475.9396, 122.0896
3.787189,197.9636, 475.9263, 121.5984
3.793185,197.9636, 475.9263, 121.5984
3.800622,198.1981, 475.9606, 121.2211
3.808764,198.4186, 475.9715, 120.7896
3.81434,198.7055, 476.0206, 120.3293
3.823049,198.9351, 476.0691, 119.9734
3.831226,199.0836, 476.1428, 119.8797
3.837254,199.0836, 476.1428, 119.8797
3.843404,199.2522, 476.3214, 119.7269
3.851793,199.5234, 476.561, 119.6056
3.858569,199.7571, 476.804, 119.5297
3.865924,199.9889, 477.0359, 119.4493
3.87168,199.9889, 477.0359, 119.4493
3.877929,200.2044, 477.2917, 119.4824
3.883744,200.3929, 477.5117, 119.5167
3.890698,200.4882, 477.7724, 119.5408
3.897777,200.4882, 477.7724, 119.5408
3.903584,200.5921, 477.9684, 119.6026
3.912411,200.6911, 478.2837, 119.6758
3.921841,200.75, 478.5558, 119.7407
3.928059,200.8121, 478.7468, 120.0219
3.936093,200.8505, 478.9975, 120.177
3.943631,200.8937, 479.174, 120.2947
3.949644,200.8937, 479.174, 120.2947
3.957615,200.95, 479.3629, 120.5545
3.965679,201.0414, 479.4915, 120.776
3.972966,200.9851, 479.7467, 120.9151
3.983315,201.0455, 479.9119, 121.0646
3.990921,201.107, 480.0431, 121.3416
3.998245,201.2193, 480.2729, 121.4345
4.005373,201.2442, 480.5098, 121.5753
4.013266,201.3034, 480.7021, 121.7422
4.020539,201.4422, 480.8071, 121.8176
4.025595,201.4422, 480.8071, 121.8176
4.032644,201.4849, 480.9367, 121.8431
4.038491,201.5002, 481.0341, 121.8473
4.045689,201.5034, 481.0796, 121.9228
4.052831,201.5034, 481.0796, 121.9228
4.058833,201.5483, 481.0849, 121.9685
4.066226,201.5655, 481.0718, 121.9883
4.071996,201.6026, 480.9986, 122.0624
4.078587,201.6026, 480.9986, 122.0624
4.086292,201.6093, 480.9692, 122.0609
4.091858,201.6163, 480.7697, 122.1581
