日付,2021_5_30__23_34_56
年齢,12
性別,男性
右手
スコア(秒),21.08918
時間,手の甲の位置,,手の力_親指,人差し指...
time(s),x,y,z
0.9700786,-114.9872, 311.3683, 47.35347
0.9742452,-113.6559, 309.5143, 49.4835
0.9789603,-112.2465, 307.7058, 51.60045
0.9837517,-110.9027, 306.0313, 53.95561
0.9882203,-110.9027, 306.0313, 53.95561
0.9932323,-109.6716, 304.7494, 56.52491
0.9972103,-107.9821, 303.2697, 59.48391
1.002215,-106.0249, 301.9001, 62.71921
1.006456,-106.0249, 301.9001, 62.71921
1.011588,-103.3943, 300.5824, 66.1852
1.016063,-100.3525, 299.6891, 70.46124
1.020868,-96.95283, 299.4817, 75.47166
1.025538,-96.95283, 299.4817, 75.47166
1.029879,-93.31841, 300.4958, 81.77538
1.035447,-89.43085, 301.9009, 89.26922
1.039738,-85.32875, 304.4827, 97.38901
1.044605,-80.75274, 307.4813, 106.0818
1.048864,-76.02702, 311.2499, 114.1041
1.054115,-70.72521, 315.5664, 122.039
1.058789,-64.87049, 319.305, 130.4819
1.063279,-64.87049, 319.305, 130.4819
1.068513,-58.62475, 323.3186, 139.4122
1.072872,-51.91151, 327.032, 149.09
1.077147,-45.53242, 331.1977, 159.6182
1.082176,-45.53242, 331.1977, 159.6182
1.08692,-39.07063, 335.4557, 170.3871
1.092139,-32.8921, 340.0785, 181.6476
1.096627,-26.80953, 345.5537, 192.6678
1.10204,-20.82915, 351.1729, 202.9669
1.106482,-14.74993, 357.7112, 212.5674
1.111144,-14.74993, 357.7112, 212.5674
1.115571,-8.717482, 364.1913, 222.6041
1.120119,-2.605982, 370.5381, 233.5165
1.125064,3.321902, 377.4708, 244.4414
1.129177,8.718096, 385.3411, 255.4225
1.134641,8.718096, 385.3411, 255.4225
1.138841,14.10186, 393.2441, 265.7706
1.143217,19.43619, 400.7738, 275.4421
1.148121,24.34398, 408.608, 285.0592
1.152887,24.34398, 408.608, 285.0592
1.157897,28.99944, 416.4725, 293.9293
1.162065,33.50984, 424.351, 302.2714
1.167506,37.77629, 432.3332, 310.0448
1.171631,41.76053, 440.3806, 316.7495
1.175987,41.76053, 440.3806, 316.7495
1.180509,45.59436, 448.5277, 322.1261
1.18539,49.30729, 456.9709, 326.1778
1.190122,53.40035, 465.6744, 328.8733
1.194522,53.40035, 465.6744, 328.8733
1.198712,57.20993, 474.3187, 331.1305
1.204421,60.70241, 483.6624, 333.1801
1.208409,63.53241, 495.086, 336.7411
1.213185,-139.4169, 304.4608, 105.8667
1.217972,-129.9863, 298.0678, 103.9669
1.222723,-122.937, 295.2114, 101.8526
1.227068,-116.9811, 294.5756, 99.88651
1.231561,-116.9811, 294.5756, 99.88651
1.236674,-113.1042, 295.2799, 97.7998
1.240685,-109.8664, 296.1275, 95.52493
1.24566,-107.1094, 297.5107, 93.72694
1.250355,-104.3193, 298.6352, 92.31329
1.254914,-104.3193, 298.6352, 92.31329
1.259395,-101.5813, 299.6183, 91.18922
1.26389,-98.88344, 300.1937, 89.78686
1.268874,-96.11704, 300.3416, 88.69407
1.273501,-93.34406, 300.2058, 87.52274
1.278239,-93.34406, 300.2058, 87.52274
1.28254,-90.77831, 299.7074, 86.46838
1.287022,-88.4029, 298.7912, 85.30048
1.29161,-86.26958, 297.5386, 83.91196
1.296066,-84.33779, 296.1091, 82.4192
1.301357,-82.62646, 294.611, 80.90445
1.305912,-81.01438, 292.8564, 79.41715
1.310029,-79.59685, 291.2748, 78.07674
1.314991,-78.32698, 290.2142, 76.92553
1.319568,-77.24313, 289.2944, 75.9073
1.324492,-77.24313, 289.2944, 75.9073
1.328499,-76.19752, 288.5595, 74.82327
1.333828,-75.25266, 287.8497, 73.86421
1.337895,-74.35104, 287.2368, 72.98811
1.342383,-74.35104, 287.2368, 72.98811
1.347124,-73.50958, 286.8185, 72.1515
1.352001,-72.7069, 286.3384, 71.32735
1.357626,-71.94512, 285.8659, 70.57635
1.363014,-71.94512, 285.8659, 70.57635
1.368314,-71.22839, 285.5588, 69.88006
1.372467,-70.59792, 285.2101, 69.2226
1.376845,-70.01099, 284.8845, 68.64316
1.381413,-69.49737, 284.5864, 68.08727
1.386164,-69.49737, 284.5864, 68.08727
1.390937,-69.06511, 284.5984, 67.57896
1.395316,-68.68903, 284.675, 67.10613
1.400708,-68.41473, 284.9588, 66.7
1.404953,-68.15756, 285.3355, 66.34296
1.409505,-68.15756, 285.3355, 66.34296
1.41439,-67.99373, 285.8809, 66.14635
1.419161,-67.86804, 286.49, 65.9741
1.423609,-67.79693, 286.9718, 65.76328
1.427823,-67.79693, 286.9718, 65.76328
1.432026,-67.78783, 287.4319, 65.60441
1.437383,-67.84313, 287.965, 65.46179
1.441364,-68.00972, 288.6066, 65.3276
1.446196,-68.00972, 288.6066, 65.3276
1.450774,-68.1955, 289.2545, 65.13377
1.456209,-68.50376, 290.0736, 64.94238
1.460849,-68.50376, 290.0736, 64.94238
1.465458,-68.94922, 291.1435, 64.80903
1.471003,-69.51584, 292.3535, 64.68951
1.475182,-70.13531, 293.7232, 64.66094
1.480013,-70.84512, 295.2171, 64.54855
1.484485,-71.56422, 296.5527, 64.45051
1.4894,-71.56422, 296.5527, 64.45051
1.493436,-72.24835, 297.889, 64.27426
1.497774,-72.92195, 298.9449, 64.00999
1.503005,-73.58459, 300.0328, 63.7109
1.50729,-73.58459, 300.0328, 63.7109
1.512357,-74.29381, 301.2209, 63.42999
1.516929,-74.98331, 302.5768, 63.17714
1.521303,-75.70229, 304.0752, 62.8699
1.526057,-76.36577, 305.7601, 62.66191
1.530165,-76.36577, 305.7601, 62.66191
1.535452,-76.99729, 307.4662, 62.42372
1.539962,-77.5598, 309.2396, 62.20947
1.544833,-78.12847, 311.1062, 61.97281
1.549592,-78.12847, 311.1062, 61.97281
1.553759,-78.64558, 313.0931, 61.79325
1.558874,-79.20018, 315.3436, 61.62089
1.56294,-79.65195, 317.5446, 61.47846
1.5682,-80.44765, 321.8884, 61.10863
